SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
COOT,2025-10-15 15:17:00,3.28,3.3111,3.32,3.285,22392.0,1.0,
COOT,2025-10-15 15:18:00,3.1101,3.285,3.31,3.21,57576.0,1.0,
COOT,2025-10-15 15:19:00,3.22,3.25,3.26,3.25,28831.0,1.0,
COOT,2025-10-15 15:20:00,3.2457,3.2457,3.26,3.26,15794.0,1.0,
COOT,2025-10-15 15:21:00,3.27,3.3,3.3,3.29,25255.0,1.0,
COOT,2025-10-15 15:22:00,3.27,3.28,3.29,3.27,19126.0,1.0,
COOT,2025-10-15 15:23:00,3.23,3.2465,3.26,3.235,34227.0,1.0,
COOT,2025-10-15 15:24:00,3.21,3.22,3.24,3.22,55396.0,1.0,
COOT,2025-10-15 15:25:00,3.2107,3.2107,3.24,3.2301,11501.0,1.0,
COOT,2025-10-15 15:26:00,3.17,3.235,3.24,3.195,98082.0,1.0,
COOT,2025-10-15 15:27:00,3.16,3.16,3.2,3.19,84314.0,1.0,
COOT,2025-10-15 15:28:00,3.12,3.17,3.18,3.14,159288.0,1.0,
COOT,2025-10-15 15:29:00,3.13,3.14,3.2799,3.17,82620.0,1.0,
COOT,2025-10-15 15:30:00,3.13,3.17,3.2599,3.17,39333.0,1.0,
COOT,2025-10-15 15:31:00,3.05,3.11,3.11,3.0794,123383.0,1.0,
COOT,2025-10-15 15:32:00,3.09,3.1157,3.14,3.1,31845.0,1.0,
COOT,2025-10-15 15:33:00,3.07,3.1,3.11,3.07,45496.0,1.0,
COOT,2025-10-15 15:34:00,3.03,3.07,3.07,3.0317,34635.0,1.0,
COOT,2025-10-15 15:35:00,3.02,3.03,3.05,3.025,57508.0,1.0,
COOT,2025-10-15 15:36:00,3.0,3.005,3.04,3.04,56592.0,1.0,
COOT,2025-10-15 15:37:00,3.0501,3.0799,3.08,3.07,19900.0,1.0,
COOT,2025-10-15 15:38:00,3.05,3.0572,3.06,3.0518,25003.0,1.0,
COOT,2025-10-15 15:39:00,3.02,3.0435,3.05,3.025,58493.0,1.0,
COOT,2025-10-15 15:40:00,2.97,3.005,3.01,2.9755,91872.0,1.0,
COOT,2025-10-15 15:41:00,2.71,2.855,2.86,2.83,220977.0,1.0,
COOT,2025-10-15 15:42:00,2.72,2.84,2.8491,2.77,191999.0,1.0,
COOT,2025-10-15 15:43:00,2.74,2.77,2.78,2.765,101842.0,1.0,
COOT,2025-10-15 15:44:00,2.7,2.76,2.7699,2.725,114220.0,1.0,
COOT,2025-10-15 15:45:00,2.7502,2.7502,2.9699,2.835,165484.0,1.0,
COOT,2025-10-15 15:46:00,2.73,2.86,2.86,2.75,76832.0,1.0,
COOT,2025-10-15 15:47:00,2.78,2.78,2.81,2.795,31915.0,1.0,
COOT,2025-10-15 15:48:00,2.8046,2.805,2.84,2.819,89152.0,1.0,
COOT,2025-10-15 15:49:00,2.78,2.805,2.835,2.805,86652.0,1.0,
COOT,2025-10-15 15:50:00,2.75,2.785,2.79,2.755,61953.0,1.0,
COOT,2025-10-15 15:51:00,2.75,2.7522,2.78,2.755,68648.0,1.0,
COOT,2025-10-15 15:52:00,2.72,2.745,2.765,2.765,80540.0,1.0,
COOT,2025-10-15 15:53:00,2.7,2.7697,2.78,2.705,65836.0,1.0,
