stock,timestamp,open,high,low,close,volume
AMZN,2025-07-23 09:00:00,228.4200,228.5000,227.4700,228.3450,32800
AMZN,2025-07-23 08:45:00,228.3000,228.4500,227.4700,228.4000,55092
AMZN,2025-07-23 08:30:00,228.5000,228.6800,228.2400,228.2732,34337
AMZN,2025-07-23 08:15:00,228.6150,228.7300,227.4700,228.6400,12135
AMZN,2025-07-23 08:00:00,228.7000,228.7500,227.4700,228.6700,84295
AMZN,2025-07-23 07:45:00,228.6500,228.7500,228.5500,228.5800,7376
AMZN,2025-07-23 07:30:00,228.5900,228.7500,228.5000,228.6600,10107
AMZN,2025-07-23 07:15:00,228.5500,228.7100,228.4400,228.5900,10903
AMZN,2025-07-23 07:00:00,228.4800,228.7000,228.3700,228.5500,13321
AMZN,2025-07-23 06:45:00,228.4700,228.6100,228.2100,228.4800,10566
AMZN,2025-07-23 06:30:00,228.2000,228.4900,228.2000,228.4800,10330
AMZN,2025-07-23 06:15:00,228.2000,228.3000,228.2000,228.2600,3604
AMZN,2025-07-23 06:00:00,228.0200,228.2300,228.0100,228.2300,3045
AMZN,2025-07-23 05:45:00,228.0500,228.0900,227.9800,228.0400,2615
AMZN,2025-07-23 05:30:00,228.0300,228.0800,227.9100,228.0500,1931
AMZN,2025-07-23 05:15:00,228.2300,228.2500,228.0300,228.0300,4672
AMZN,2025-07-23 05:00:00,228.2300,228.3000,228.1900,228.2400,874
AMZN,2025-07-23 04:45:00,228.0800,228.2500,228.0800,228.1900,1260
AMZN,2025-07-23 04:30:00,228.1500,228.1500,228.0100,228.0500,2242
AMZN,2025-07-23 04:15:00,228.1100,228.2400,228.0000,228.1300,3221
AMZN,2025-07-23 04:00:00,228.1500,228.3700,228.0100,228.1100,10630
AMZN,2025-07-22 19:45:00,228.2500,228.4000,228.0500,228.3600,10128
AMZN,2025-07-22 19:30:00,228.2900,228.4000,228.0500,228.2000,9733
AMZN,2025-07-22 19:15:00,227.8500,228.3400,227.7500,228.2000,17626
AMZN,2025-07-22 19:00:00,227.5600,228.0500,227.4700,227.6600,9600
AMZN,2025-07-22 18:45:00,227.5400,227.5800,227.4700,227.5300,5690
AMZN,2025-07-22 18:30:00,227.5000,227.5800,227.5000,227.5800,4813
AMZN,2025-07-22 18:15:00,227.5550,227.6500,227.5000,227.5300,6094
AMZN,2025-07-22 18:00:00,227.5900,227.7800,227.5000,227.5550,9622
AMZN,2025-07-22 17:45:00,227.6400,227.7000,227.5400,227.5750,7150
AMZN,2025-07-22 17:30:00,227.7300,227.7300,227.6100,227.6800,3410
AMZN,2025-07-22 17:15:00,227.7200,227.9304,227.4700,227.6900,1136340
AMZN,2025-07-22 17:00:00,227.5500,234.2573,212.1414,227.7200,2213674
AMZN,2025-07-22 16:45:00,227.7000,227.7200,221.2295,227.5900,11180
AMZN,2025-07-22 16:30:00,227.7000,227.9304,227.5900,227.6900,6213
AMZN,2025-07-22 16:15:00,227.4700,227.7000,227.4100,227.6000,25505
AMZN,2025-07-22 16:00:00,227.5200,227.9000,227.4500,227.4700,6470593
AMZN,2025-07-22 15:45:00,227.8300,228.7000,227.4200,227.5200,2102406
AMZN,2025-07-22 15:30:00,227.8100,228.0000,227.7100,227.8399,1654870
AMZN,2025-07-22 15:15:00,227.6566,227.9800,227.5950,227.8200,585016
AMZN,2025-07-22 15:00:00,227.7600,227.8500,227.5350,227.6600,573142
AMZN,2025-07-22 14:45:00,227.5900,227.8650,227.5576,227.7800,1148201
AMZN,2025-07-22 14:30:00,227.2200,227.7500,227.2000,227.5901,760758
AMZN,2025-07-22 14:15:00,227.2100,227.3753,226.7700,227.2200,632391
AMZN,2025-07-22 14:00:00,227.0100,227.2317,227.0000,227.2000,364008
AMZN,2025-07-22 13:45:00,227.1900,227.3050,227.0100,227.0150,546519
AMZN,2025-07-22 13:30:00,227.4900,229.4000,227.1300,227.1832,400776
AMZN,2025-07-22 13:15:00,227.2000,227.7600,227.2000,227.5100,604413
AMZN,2025-07-22 13:00:00,227.1550,227.3200,227.0200,227.2000,452488
AMZN,2025-07-22 12:45:00,226.7388,227.2000,226.6400,227.1550,508761
AMZN,2025-07-22 12:30:00,226.4500,226.8400,226.3800,226.7329,549668
AMZN,2025-07-22 12:15:00,226.9300,227.1700,226.3500,226.4454,862957
AMZN,2025-07-22 12:00:00,226.7050,227.0199,226.6600,226.9300,620251
AMZN,2025-07-22 11:45:00,226.9900,227.2100,226.6000,226.7013,896015
AMZN,2025-07-22 11:30:00,226.9700,227.2100,226.7800,226.9900,746794
AMZN,2025-07-22 11:15:00,227.2800,227.3504,226.7700,226.9600,971425
AMZN,2025-07-22 11:00:00,227.5300,227.6100,227.2500,227.2750,572911
AMZN,2025-07-22 10:45:00,227.8300,227.8850,227.3700,227.5300,795515
AMZN,2025-07-22 10:30:00,227.2500,227.9950,227.2456,227.8400,933976
AMZN,2025-07-22 10:15:00,227.6200,227.9800,227.1400,227.2500,1239361
AMZN,2025-07-22 10:00:00,227.6800,227.7600,226.5700,227.6100,1855243
AMZN,2025-07-22 09:45:00,229.3300,229.4350,227.3700,227.6500,3369324
AMZN,2025-07-22 09:30:00,229.6800,230.0000,228.8100,229.3308,6051488
AMZN,2025-07-22 09:15:00,229.9880,230.1000,228.5200,229.6400,176092
AMZN,2025-07-22 09:00:00,229.9200,230.0000,229.3000,229.9900,15534
AMZN,2025-07-22 08:45:00,229.9000,230.0000,229.3000,229.9600,10727
AMZN,2025-07-22 08:30:00,229.9700,230.0000,229.9000,229.9500,26458
AMZN,2025-07-22 08:15:00,230.1500,230.1900,229.9000,229.9500,29631
AMZN,2025-07-22 08:00:00,229.1688,230.4000,228.7500,230.1200,166516
AMZN,2025-07-22 07:45:00,229.9800,230.3200,229.9000,230.3000,43629
AMZN,2025-07-22 07:30:00,229.8900,229.9900,229.7500,229.9500,16168
AMZN,2025-07-22 07:15:00,229.5300,229.9000,229.4000,229.8900,13291
AMZN,2025-07-22 07:00:00,229.4600,229.7100,229.3400,229.5100,20013
AMZN,2025-07-22 06:45:00,229.4900,229.4900,229.3900,229.4600,1700
AMZN,2025-07-22 06:30:00,229.5800,229.5800,229.3100,229.4300,7100
AMZN,2025-07-22 06:15:00,229.6300,229.6300,229.5000,229.5200,3614
AMZN,2025-07-22 06:00:00,229.4700,229.6200,229.4600,229.5400,1998
AMZN,2025-07-22 05:45:00,229.1900,229.5200,229.1800,229.4700,8434
AMZN,2025-07-22 05:30:00,229.0400,229.2100,229.0400,229.1800,4284
AMZN,2025-07-22 05:15:00,229.0500,229.1800,229.0100,229.1000,2583
AMZN,2025-07-22 05:00:00,228.8600,229.0900,228.8200,229.0600,3650
AMZN,2025-07-22 04:45:00,228.8500,228.9600,228.8100,228.8700,4752
AMZN,2025-07-22 04:30:00,229.0000,229.1400,228.8500,228.8900,4268
AMZN,2025-07-22 04:15:00,229.3500,229.3700,228.9200,229.0100,3402
AMZN,2025-07-22 04:00:00,229.1700,229.4900,228.6800,229.3900,10577
AMZN,2025-07-21 19:45:00,229.4000,229.4852,229.2200,229.2388,14302
AMZN,2025-07-21 19:30:00,229.3500,229.4500,229.3000,229.4000,7798
AMZN,2025-07-21 19:15:00,229.3600,229.4000,229.2650,229.3000,4058
AMZN,2025-07-21 19:00:00,229.4000,229.4300,229.3100,229.3600,2535
AMZN,2025-07-21 18:45:00,229.3100,229.4300,229.3100,229.3900,2459
AMZN,2025-07-21 18:30:00,229.3499,229.4000,229.3100,229.3100,2198
AMZN,2025-07-21 18:15:00,229.4000,229.4000,229.3100,229.3500,4082
